temp_mean,precipitation,wind_speed,raceId
21.5,1.8,20.5,106
21.4,6.8,26.7,107
16.2,1.1,25.4,108
27.2,1.9,9.9,109
19.3,14.6,12.6,110
12.9,0.0,12.2,111
17.4,0.0,16.3,112
13.4,4.6,5.7,113
20.4,1.1,6.8,114
15.6,0.2,18.6,115
17.6,0.0,7.8,116
18.2,0.0,11.3,117
18.0,0.0,23.5,118
28.4,0.0,9.0,119
23.2,0.0,19.9,120
17.1,0.5,10.4,121
10.5,2.9,17.9,122
20.5,6.2,10.0,123
16.5,1.0,21.3,124
26.5,8.8,12.1,125
23.0,0.0,12.6,126
12.2,0.6,11.0,127
15.2,0.0,19.7,128
13.0,8.0,8.1,129
18.6,0.2,9.8,130
18.7,0.1,26.0,131
15.9,0.0,12.3,132
14.8,0.4,19.7,133
20.0,0.0,13.5,134
22.1,0.0,11.5,135
21.9,0.0,12.5,136
13.1,0.0,18.2,137
16.6,0.0,14.1,138
19.5,0.0,11.3,139
18.6,0.0,16.1,140
20.3,0.0,21.7,141
26.3,1.6,15.5,142
21.4,9.3,7.9,143
7.1,0.0,18.6,144
13.9,0.0,21.3,145
12.4,0.0,9.4,146
21.8,0.0,7.8,147
19.4,0.1,17.3,148
15.5,0.0,8.6,149
19.7,0.0,13.3,150
12.6,0.1,11.9,151
24.3,0.0,12.2,152
24.2,0.2,8.7,153
12.2,1.4,20.2,154
14.7,0.0,11.7,155
14.3,0.0,11.4,156
17.6,0.0,13.5,157
22.2,0.0,14.2,158
20.7,0.8,13.0,159
11.5,1.2,10.8,160
8.6,0.8,14.1,161
17.1,1.7,14.5,162
7.8,5.1,17.2,163
22.5,0.0,9.2,164
14.2,1.9,11.3,165
22.2,0.4,17.7,166
11.8,0.1,15.0,167
16.8,4.4,11.8,168
24.2,0.2,11.4,169
15.5,5.5,14.1,170
19.1,0.0,6.9,171
14.5,10.5,18.5,172
19.1,7.5,23.1,173
26.4,0.1,15.5,174
16.7,1.4,17.4,175
18.4,0.0,15.6,176
17.6,0.3,12.3,177
18.4,2.2,7.8,178
21.1,0.0,17.4,179
24.9,0.0,17.7,180
17.2,7.7,19.5,181
17.7,0.0,23.2,182
15.6,0.0,7.2,183
22.0,0.0,10.9,184
17.8,0.4,15.8,185
15.3,0.0,12.1,186
20.7,0.0,6.5,187
13.1,5.6,23.1,188
25.7,3.2,9.7,189
15.0,0.0,10.8,190
16.2,0.0,20.5,191
21.8,8.2,12.0,192
17.9,13.5,24.6,193
18.2,0.0,10.5,194
16.4,0.0,11.2,195
17.2,1.4,11.1,196
12.1,0.2,13.0,197
17.7,0.0,14.4,198
15.9,1.5,36.8,199
19.2,4.4,6.1,200
17.3,5.1,8.7,201
22.9,0.0,9.3,202
11.4,2.8,14.5,203
14.1,1.2,11.4,204
13.1,0.4,19.0,205
16.2,0.0,11.6,206
15.8,0.0,21.3,207
17.0,0.1,12.8,208
22.7,0.0,16.3,209
13.6,6.1,19.8,210
15.2,5.0,18.1,211
19.1,0.9,30.4,212
17.4,0.0,21.5,213
15.7,15.8,18.1,214
17.2,1.0,22.0,215
19.6,0.4,19.2,216
20.8,0.0,16.9,217
22.8,0.1,16.6,218
22.4,2.0,7.5,219
10.5,0.0,6.5,220
13.6,0.0,6.1,221
15.2,0.0,24.3,222
20.2,0.8,14.5,223
17.6,0.0,10.4,224
23.5,3.7,10.2,225
15.2,0.0,16.8,226
10.0,1.6,19.1,227
14.5,0.0,14.8,228
15.9,12.9,10.8,229
15.1,20.1,15.3,230
17.9,0.0,11.3,231
16.4,0.0,14.8,232
18.7,0.5,15.3,233
20.9,0.5,4.9,234
20.0,0.0,20.8,235
14.2,1.4,23.5,236
14.1,0.0,9.2,237
